CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 16:00:02,surfaced,1,-88.523797,28.849615
2015-Mar-02 16:00:02,surfaced,1,-88.49045,28.824285
2015-Mar-02 16:00:02,water column,0,-88.35208,28.727263
2015-Mar-02 16:00:02,water column,0,-88.352993,28.728009
2015-Mar-02 16:00:02,water column,0,-88.351882,28.72697
2015-Mar-02 16:00:02,surfaced,1,-88.369263,28.752826
2015-Mar-02 16:00:02,surfaced,1,-88.388126,28.771822
2015-Mar-02 16:00:02,surfaced,1,-88.405298,28.778678
2015-Mar-02 16:00:02,surfaced,1,-88.414406,28.782262
2015-Mar-02 16:00:02,surfaced,1,-88.429373,28.788387
2015-Mar-02 16:00:02,surfaced,1,-88.44432,28.797368
2015-Mar-02 16:00:01,surfaced,1,-88.480421,28.827557
2015-Mar-02 16:00:02,surfaced,1,-88.431282,28.789421
2015-Mar-02 16:00:02,water column,0,-88.359429,28.730754
2015-Mar-02 16:00:02,water column,0,-88.360044,28.730293
2015-Mar-02 16:00:02,water column,0,-88.368329,28.730876
